trial,alpha_0.01,alpha_0.1,alpha_0.19,alpha_0.28,alpha_0.37,alpha_0.46,alpha_0.55,alpha_0.64,alpha_0.73,alpha_0.82,alpha_0.91
1,0.701982799808887,0.704819636884854,0.705387004300048,0.706103678929766,0.704282130912566,0.706163401815576,0.705491519350215,0.706730769230769,0.707731127568084,0.706476946966077,0.70734292881032
2,0.683283482884679,0.684252797164063,0.688171596322145,0.689500941619586,0.68912706325468,0.695219895867952,0.686731472249917,0.691398028137809,0.696743104021269,0.683892766146006,0.694430597097596
3,0.712748369714968,0.710421577932217,0.710452193613569,0.714034228331752,0.714891467409607,0.711707436549,0.71385053424364,0.716667176928023,0.711768667911704,0.710972660196553,0.710819581789793
4,0.711241940005607,0.70216179173286,0.711553437373454,0.709918076192256,0.712487929476996,0.713733918948385,0.712705977634489,0.708469613431767,0.711802635267732,0.705463663832041,0.706756377908607
5,0.70397542222073,0.722022630359601,0.703001712386261,0.7137796729678,0.720797099016217,0.69534633851526,0.718362824430044,0.697226605781822,0.718362824430044,0.714669442299298,0.724121142933888
6,0.675237091675448,0.676320939334638,0.674604847207587,0.679271413517989,0.676727382206834,0.679542375432786,0.680731597169953,0.679421947915099,0.681062772843595,0.680776757489086,0.682417582417582
7,0.711735372340425,0.713264627659574,0.707845744680851,0.708926196808511,0.713198138297872,0.71592420212766,0.718218085106383,0.716688829787234,0.71748670212766,0.716489361702128,0.710139627659575
8,0.706629817193676,0.71098381916996,0.709285449604743,0.709378087944664,0.709378087944664,0.733973567193676,0.731595849802372,0.710057435770751,0.707834115612648,0.709501605731225,0.727921195652174
9,0.707781341514433,0.712020638683587,0.70818574815228,0.708883000976154,0.714586529075443,0.715911309440803,0.712285594756659,0.70967786919537,0.709691814251848,0.709552363687073,0.7082973086041
10,0.692803385122258,0.688200523272716,0.687732161891534,0.689379501921897,0.703801802383798,0.685067347136535,0.690057818404987,0.704835427500888,0.687021544623534,0.686084821861171,0.686375528925353
11,0.70879227365225,0.710407312897703,0.705077683387706,0.707694046965341,0.70772634775025,0.710601117607158,0.705820601440615,0.709502890920249,0.694014664556349,0.696356471462257,0.711085629380794
12,0.714964773788303,0.708669326316385,0.717822482528365,0.717624423506776,0.719392807628102,0.720100161276632,0.720227484933367,0.720368955663073,0.720128455422573,0.717567835214894,0.721161191749427
13,0.720789334330125,0.720851633803694,0.721568077749743,0.723203438930941,0.723078839983802,0.724496153007507,0.723779709061458,0.723452636825219,0.722845216957917,0.722969815905056,0.719496620253559
14,0.674019536375565,0.676395976089809,0.678830733343053,0.681250911211547,0.681892404140545,0.673655051756816,0.678335034261554,0.680201195509549,0.67585653885406,0.682111094911795,0.682373523837294
15,0.737617341897233,0.7637104743083,0.737478384387352,0.728893898221344,0.72260993083004,0.735131546442688,0.766335227272727,0.73042243083004,0.744364500988142,0.751806447628458,0.763818552371542
16,0.713668523257564,0.732665964172813,0.760003010687942,0.760153545085052,0.759521300617191,0.760213758843896,0.760364293241006,0.763013698630137,0.760620201716092,0.760575041396959,0.760815896432335
17,0.691013964784457,0.639253187613843,0.674408014571949,0.670036429872495,0.670112325440194,0.652155434122647,0.651062537947784,0.651275045537341,0.651244687310261,0.651244687310261,0.664101396478446
18,0.737910258443,0.735309973045822,0.731599809735215,0.727461550657999,0.724575868083082,0.72717615348026,0.731488821943872,0.725178373236087,0.731932773109244,0.731932773109244,0.727207864277787
19,0.722126216077829,0.721806195596518,0.724494367639529,0.725902457757296,0.722126216077829,0.721198156682028,0.721966205837174,0.720814132104455,0.721966205837174,0.722638248847926,0.72319828469022
20,0.704157111017798,0.700991634096709,0.700959333311799,0.719952194838335,0.701508446655254,0.72253625763106,0.704221712587616,0.704447818081979,0.703575696889434,0.701346942730708,0.721954843502697
21,0.770320711896799,0.782026397515528,0.770619326325848,0.78804347826087,0.791925465838509,0.771156832298137,0.76905160057334,0.792224080267559,0.792343526039178,0.770514811275681,0.792283803153368
