bs_replicate,X.Intercept.,Human.population.size.in.1.km.radius.of.site.greater_than_1.000_humans_.urban.,Human.population.size.in.1.km.radius.of.site.less_than_100_humans_.rural.,Human.population.size.in.1.km.radius.of.site.No_humans_observed_in_1_km,labLab_B,Shannon_H_index_cs,Fraction_juv_cs,Fraction_F_cs,Trapping.at.a.cave.or.mine.Yes,Frequency.of.human.visitation.to.the.siteMonthly,Frequency.of.human.visitation.to.the.siteNot_visited_by_humans,Frequency.of.human.visitation.to.the.siteOccasionally,Frequency.of.human.visitation.to.the.siteSeasonal,Frequency.of.human.visitation.to.the.siteWeekly,Frequency.of.human.visitation.to.the.siteYearly,Water.present.at.the.site.Yes,Site.accessibilityEasy,Site.accessibilityModerate,Bat.familyPteropodidae,Bat.familyRhinolophidae,Bat.familyRhinopomatidae,Bat.familyVespertilionidae,AgeJuvenile_.J.,SexMale_.M.,Bat.familyPteropodidae.AgeJuvenile_.J.,Bat.familyRhinolophidae.AgeJuvenile_.J.,Bat.familyRhinopomatidae.AgeJuvenile_.J.,Bat.familyVespertilionidae.AgeJuvenile_.J.,Bat.familyPteropodidae.SexMale_.M.,Bat.familyRhinolophidae.SexMale_.M.,Bat.familyRhinopomatidae.SexMale_.M.,Bat.familyVespertilionidae.SexMale_.M.,AgeJuvenile_.J..SexMale_.M.
1,-2.37766039989473,-0.377257586113655,0.31474382549241,0.335673939262426,-0.0698672853452565,0.466115377270263,0.109641253558363,-0.329067646849109,0.582460538759427,-0.0762984693055585,-0.512078032850782,1.04543196954744,0.118285254048562,-0.0917965320792385,0.453466027591894,-0.197118457041223,0.0346150187041869,-0.118728077079906,-0.101188413266884,0.381459210968394,-0.294296637222946,0.0427682510497795,0.123035342933626,-0.0765729111203856,-1.09297826613055,1.00442556420893,0.624997924933111,0.167878771480341,-0.358952834731236,0.474527749600433,0.060761108738047,-0.815905385706486,-0.101490136925003
2,-2.788190404126,-0.654460792158785,0.561435684509494,0.705918361049179,0.218344517870784,0.37614125869975,-0.0857262680290438,-0.624578743510891,0.991389080474413,-0.0199732912450718,-0.357174928764875,1.26763225796989,0.0383398768862062,-0.110451192468935,-0.644807877668106,-0.227192770990655,0.276437815727941,-0.20223475381916,-0.647372240216252,0.6988462868211,0.306071133115644,-0.677875306544181,-0.402916052837528,-0.17342379452024,-1.1383968131504,1.27831435442957,1.03890762384649,0.841383524602345,0.276512893427221,0.741594192457284,-0.487679289328585,-0.422593560109221,-0.0140656583487183
3,-2.11322142992251,0.298564585342748,0.0114542283814338,0.269613192272876,-0.0645854324640044,0.266096036332889,0.0160817733306945,-0.0942735967853082,0.589598436608866,-0.0246868660693128,-0.184317802684528,0.767082483594451,0.0504521280927154,-0.171087916369382,-0.0678116168402504,-0.0946672168316315,0.1200401753255,-0.194843838067044,-0.238308765008073,0.345517117772412,-0.17935305555364,-0.202369399443273,0.132605624820266,-0.134828988675375,-0.719286073029694,0.349427400137936,0.63816207619443,0.857245445820987,-0.183546119428297,0.322899829404562,-0.070896923638072,-0.457771633173731,0.112062294831657
4,-2.10961808590903,-0.114282481549898,-0.261486630031941,0.21169707554422,-0.0352890071400644,0.86289963460151,0.553613453959518,-0.820089335822865,0.606858786430162,0.00712077319276565,0.170784799648082,1.06680924835247,0.178800287647392,-0.157017577652263,-0.0538939316121338,-0.313408929124587,0.0921048142824215,-0.0848382215202714,0.0629572995818636,0.372320916248039,-0.538582971494717,-0.635724213868452,-0.923245503067017,0.234467370433877,-1.00170906356427,1.65042195077392,2.28592106193205,1.37799462735579,-1.50097763032409,0.202873064761759,-0.28466024274382,-0.348186777826842,0.0889153370363865
5,-2.34027281093818,0.178869671348181,0.255305146084947,0.335227784924795,0.0266019565033397,0.635265216871104,0.147600995779748,-1.09219294076516,0.872650023024657,-0.353040599801735,-0.113348528625831,1.6129102651472,-0.111240983699698,0.0220143971661652,-0.0784218203285819,-0.151895072966529,0.245128873356036,-0.124471770886613,-0.526732340558497,0.205948561725044,-0.242099833309974,-1.06854932223803,-0.704367106939815,-0.239856863648331,0.415219084051548,2.09516347295358,2.12002702805609,1.0488069637304,0.275974494859487,0.586083068272239,-0.221163778085654,-0.287956159726886,-0.104940482941824
6,-2.53783010891632,1.20323240000518,0.694480477744791,0.391740884229419,0.251083396988851,0.507852168346796,0.108392548566,-0.785368507082453,0.655545933493321,0.0569648061566178,-0.420488315028395,0.957353798868124,0.0140686626257602,-0.14942463264826,-0.601047220165855,-0.114715141914579,0.461105559428882,-0.144403852784484,-0.424451681700157,0.625984829343506,-0.820594760450425,-0.726656027491157,-0.431620069188589,-0.0316559471712248,-0.929371374315866,0.561712664851266,1.0133700517772,1.4909002091702,-0.915809999989498,0.240525781848331,0.226611136361878,-0.880159340104864,0.492501990390374
7,-2.03658926431633,-0.236719528593436,0.271531169502075,0.252834436698978,-0.142374459179324,0.474164531746156,-0.0600753155605534,-0.306751405660701,0.63627778327686,-0.0267412186308061,-0.188118154345958,0.865535919855082,-0.180790785303577,0.224796840149878,0.0536305012014344,-0.379385693499884,0.152438233719334,-0.305052075295397,-0.0590803156256286,0.321149209648908,-0.2233814515661,-0.523797433346961,-0.287860790578738,0.0446890317122883,-0.936553260375451,1.11693688085763,1.42257777813549,0.88684649426886,-0.434412934236918,0.614533500488962,-0.119295830129786,-0.786088741595275,0.0972415553889934
8,-2.23435465231989,0.479656788899941,-0.213222094787209,0.519523976868004,-0.100687840785214,0.550732116208189,0.0328741902049797,-0.265689443863495,1.00264451427636,0.103534964872354,-0.165710549576652,0.965615286416371,0.0685144977709905,0.306927556079383,-0.00547270501331423,-0.549988683418484,0.139087999326907,-0.379368875694062,-0.246871903258399,0.53407905106167,-0.108861784887001,-0.562012060028639,-0.518060391357248,-0.336458887634981,-0.801042874152086,1.40491659778008,0.605323845626058,1.09573466724096,0.0305084670681566,0.34836494779025,-0.135342861945195,-0.626901485678548,0.352252423423748
9,-1.95891198462975,-0.590603086983507,0.333678579990899,0.202743910109991,0.0363103856766673,0.485158010655249,0.147372200517853,-0.347621805444771,0.730518301084328,0.0226743694064676,-0.0635735482912449,0.956312550721555,0.346564138732929,-0.514492346249916,-0.023423841753789,-0.468069077806031,-0.101396020753105,-0.156902258001692,-0.516360055134346,0.29539505349653,-0.273308172423963,-0.35196316385133,-0.24699333456013,-0.115092382436533,-0.41120800578822,0.823804615634738,1.78463135921006,1.01782235635322,-0.789085122782335,0.879872484150673,-0.458979664896047,-0.593149291395325,0.00218297322559571
10,-2.0947171178067,0.287340911943035,-0.0584081744990991,0.36811979478168,0.0606413244612506,0.601761077085028,0.12438209339754,-0.467418333983368,0.844960358694039,-0.0140287521963719,0.0566110513645946,0.919554517636832,0.0789032243759384,0.0368054375409682,-0.183394470521612,-0.229757896797856,0.0812152984069875,-0.298752585704852,-0.357003629956806,0.424411808477207,-0.245396263660122,-0.272904042691103,-0.272183969454499,-0.269569515600101,-0.82752198026671,1.02789566104692,1.03046012121328,0.706715575192697,-0.922145835165172,0.825509958497698,-0.197422861087698,-0.620698795648523,0.269495571433404
11,-2.27022024857658,0.0125462211778542,-0.284165815158394,0.366650537055039,0.0492157001739044,0.471177960000625,0.0024383815206585,-0.473210301407559,0.691757916960248,-0.213685757993817,-0.0959311943380249,1.08561349457808,0.0232789354650141,0.20168887726718,0.499480529321369,-0.166755467639482,-0.00708177630859022,-0.118049526284791,-0.155987696845711,0.522881668263627,-0.244565197805173,-0.556736661064257,0.0156396383814643,-0.237444886316641,-0.54557753103981,1.00957794879225,0.297094153254911,0.791357871370831,-0.415871915887466,0.665195462394403,0.0604540265167198,-1.00569158472807,0.0110949817967038
