bs_replicate,X.Intercept.,Human.population.size.in.1.km.radius.of.site.greater_than_1.000_humans_.urban.,Human.population.size.in.1.km.radius.of.site.less_than_100_humans_.rural.,Human.population.size.in.1.km.radius.of.site.No_humans_observed_in_1_km,labLab_B,Shannon_H_index_cs,Fraction_juv_cs,Fraction_F_cs,Trapping.at.a.cave.or.mine.Yes,Frequency.of.human.visitation.to.the.siteMonthly,Frequency.of.human.visitation.to.the.siteNot_visited_by_humans,Frequency.of.human.visitation.to.the.siteOccasionally,Frequency.of.human.visitation.to.the.siteSeasonal,Frequency.of.human.visitation.to.the.siteWeekly,Frequency.of.human.visitation.to.the.siteYearly,Water.present.at.the.site.Yes,Site.accessibilityEasy,Site.accessibilityModerate,genusMyotis,genusRhinolophus,genusRhinopoma,genusRousettus,AgeJuvenile_.J.,SexMale_.M.,genusMyotis.AgeJuvenile_.J.,genusRhinolophus.AgeJuvenile_.J.,genusRhinopoma.AgeJuvenile_.J.,genusRousettus.AgeJuvenile_.J.,genusMyotis.SexMale_.M.,genusRhinolophus.SexMale_.M.,genusRhinopoma.SexMale_.M.,genusRousettus.SexMale_.M.,AgeJuvenile_.J..SexMale_.M.
1,-1.90343131587642,1.26374783065371,0.253857333505745,0.144240345853448,-0.250359707717314,0.505834650787285,0.308039174941957,-0.665734846858862,1.05957326725659,-0.114326542317621,-0.205941042384058,0.955106495455895,-0.40172683118799,0.0772997716432753,-0.592831884255815,-0.305333452390192,-0.0188197490058334,-0.439016620513452,-0.525282703192396,0.351693677554965,-0.135799395499574,-0.174207761480571,-0.819169223227137,-0.391318635909012,1.45645329862277,1.8881261736514,0.117564414125362,0.0514074311009053,-0.192512361053982,0.954148105080627,0.16862996890206,-0.985664117749654,-0.236265937267357
2,-2.22034814612944,0.795249568916344,0.169963261358349,0.00292723547446459,-0.0348930446426109,0.291702242390511,-0.237245825703257,-0.646750037878848,1.05367022139446,-0.22818838184728,-0.0647474526243352,1.31061102908958,-0.524807932554429,-0.185725077325292,-0.42773888723839,-0.303814115643634,0.0594932665427314,-0.212024248704659,-0.22602052164581,0.275877384889157,-0.632376581908329,-0.358323375604067,-0.262522547614378,-0.0528768219473532,0.239382889438967,1.29839950538793,1.50225381873164,0.398569151894614,-1.156707554605,0.943275106712299,-0.109551381121738,-0.452554317414853,-0.451386855115878
3,-1.91549957359503,0.534034942495147,0.0804577433121689,0.274748169035956,-0.161088326884722,0.357655086739234,0.174780846640858,-0.437916794985453,0.786612684918119,-0.216788100684577,-0.14094031202728,0.895743099966195,0.0741685211799388,-0.299528527167954,-0.240519905436668,-0.361535526205025,0.0914856228956766,-0.34654579402416,-0.226480609126796,0.144795721653444,-0.469150037213301,-0.0206562165226218,-0.507553818909297,-0.25124305097663,0.44161408406244,1.58014004040092,0.862300261219441,-1.10117702458798,-0.854570676974315,0.823188827842763,0.216941971798292,-0.477875965307271,0.223525709117173
4,-1.67020109682383,-0.206446500120851,0.0644197841866808,0.294088618514828,0.148367124872967,0.550140417586246,-0.45310664631377,-0.949855590131851,0.678593351892594,-0.307396681520667,-0.499398816288269,1.56869524983096,-0.662882594476674,0.0795178163929781,-0.15482148361651,-0.288828735858956,0.147284176622533,-0.214173105075082,-0.628576214803113,-0.0606564724135106,-0.630316268097724,0.0444654001192308,-0.49676267429367,-0.293386391069178,0.180143785086327,1.86629763410514,1.74034262068349,-0.877029501133626,-0.744549129714176,0.892328025708594,-0.239198007769177,-1.29481556644524,0.263011648481325
5,-1.96002235258037,-0.0449759869721379,0.331714649914139,0.289535590036382,0.0402776232252387,0.17078504481962,0.155336193638239,-0.515079577111665,0.744305877447763,-0.244838244915378,0.0862039714999962,0.774601055479106,-0.130138773596419,-0.332207704437749,-0.318125941361853,-0.180961860873677,-0.0341902769928851,-0.130982192450363,-0.0800630491914714,0.271294021998562,-0.129150187325756,-0.537576773364848,-0.461956661669174,-0.122247342963579,0.410973834580558,0.997977497404522,1.11751247962598,-0.965711886149749,-1.00432956459668,0.564132874265516,-0.170044863083928,-0.182533165388631,0.34853168648306
6,-2.65900497141961,0.207568573926538,0.0391425082701736,0.355344345376676,-0.219744100951735,0.318381567646009,-0.21573417948266,-0.755402813098624,1.5604641153722,-0.371669324603483,-0.107392375201379,1.15273243544642,-0.209373013920683,0.114673956465922,-0.475174858250366,-0.346013703895967,0.129139729864228,-0.395588606370712,-0.660981793579365,0.725413491793697,-0.28759250264829,-0.0764438844448577,-0.614828569016555,-0.360940892338562,1.18719142317122,2.01841066829711,1.48593164560289,-0.450617187345423,0.21219336381685,0.402167593921074,-0.129313549953327,-0.0453894694139265,0.379049863081251
7,-2.39018664125239,0.376853163179654,0.909142525280001,0.514116152497682,0.061147790809694,0.598992159927003,-0.0088599147134507,-1.16702579707247,0.508068940297303,-0.202977668487668,-0.813437100067967,1.02218676977446,-0.375768775159452,-0.397037305057885,-0.662492026926367,0.0269022473164917,0.634640932047519,-0.196268487571692,-0.703470589789245,0.445815986200061,-0.479407701724348,0.267856639178816,-0.731510212703031,0.13704013067306,1.95138640035518,1.83122443379367,0.168540231986596,-0.0490278758628954,-0.660352267291051,-0.0901162471821545,0.0109571330559034,-0.866747008915741,0.186301404785773
8,-2.10103939199041,-0.718598275438481,0.414053809816992,0.718316117134076,0.255254331319174,0.547752855901754,0.0261679649812921,-0.909438575981622,0.620786461871602,-0.304844173486323,-0.52837087556565,1.11557372297105,-0.0940307418556249,-0.34958753532916,-0.104242652438364,-0.0732120135365394,0.0937460543642872,-0.248964521461752,-0.340986658442972,0.560449071763984,-0.336694897171015,-0.364705725230306,-0.91093776798432,-0.201396464375115,0.181506554907642,1.76740989187966,2.69503802051556,-0.219925895808049,-0.444267185576932,0.487134115692028,-0.396430107354036,-1.03991384970883,0.400789425549513
9,-2.12140575798157,-1.85276703850869,-0.395178497411755,0.733556102310079,-0.348669527975959,0.375771768917875,0.28974914788356,-0.297428236364224,0.684689525077403,-0.0174256932327491,-0.334143648351427,0.666001449807762,-0.199187192427675,0.373146213450852,0.330097933338084,-0.023551492816739,0.0397315590787278,-0.104361741258048,-0.693271283363783,0.201574993091786,0.165967355064401,-0.811385008786077,-0.390941131586731,-0.568658909415543,0.494150906440489,1.54491511938826,0.890823539096697,-0.824154581289372,-0.597014856852365,1.17079393346919,0.333174372931829,0.403266913507479,0.0534427743510279
10,-1.73114377901649,1.13192049778903,-0.336168149442256,0.542519351290578,-0.0148765113629723,0.337812711632413,-0.190054676688871,-0.803492992137611,1.01006776322934,-0.274345040171547,-0.495271979731021,1.25615059389907,0.0995295547436425,-0.608027741522246,0.415116988877377,-0.391958025182415,0.188320576341359,0.0514173390139962,-1.08571120973591,0.0111628030348827,-0.639800161644073,-0.87693214037097,-0.438665706380885,-0.539213063498587,0.62040100447284,1.42881551386685,0.322019887146058,-0.521881014149726,-0.470044366307842,0.754572874103416,-0.148225822141729,-0.0998412244057068,0.0419588932390504
11,-2.2036427558228,-0.155350621548265,0.379314305738861,0.393538868924055,-0.0236760403481414,0.406763271373423,-0.0357757861349091,-0.488839035234501,0.548852521961348,-0.100455935334743,-0.609923614821242,1.06399108704645,-0.403126965720701,-0.00866308031823458,-0.145814902359426,0.0689816924918707,0.225173182580204,-0.247248704545799,-0.381843622760031,0.273232952924938,0.106014644675192,-0.449470461061067,-0.127826272686229,-0.280952963158271,0.357448586635779,1.00358201923895,0.253886191297309,-0.520788475965015,-0.585670953159822,0.651926947169,-0.051734963349916,0.0275689414275475,0.287602042545186
12,-2.15199072805629,-0.397580683933463,0.229515772559441,0.582363590903008,-0.131797745887357,0.154713008620953,-0.428196210128884,-0.432662643459273,0.845178305182759,-0.303668148905995,-0.752056942740098,0.893819606414105,-0.100584277891633,0.126845468442309,0.0749767305544635,0.247474499210426,0.517175241523995,-0.208337257149403,-1.07964900877605,-0.0694660341520633,-0.220843529322587,-0.258343421643191,-0.180539247983762,-0.668780243044522,0.533578336973618,1.65356242852832,-1.622171455845,-1.95754594610241,-0.425330793038652,0.70281351521651,0.0224747100189338,0.0907616017941293,0.241659741020734
